<think>
The user now needs to transcribe this PDF page into text, preserving the original structure. First, look at the title: "General Office - Physical Positions," followed by a note in parentheses: "(Each step represents a six-month increment)." Then comes the table section, divided into several parts: BUILDING, ENGINEERING, FORMS SHIPPING AND RECEIVING, LOAD DISPATCHING.

First, process each section one by one:

BUILDING section:
- J01127 General Office Materials Handler* N $17.86 $18.41 $18.99 $19.53 $19.83 $20.17 $20.48  
- J01126 General Office Services Worker* N $17.86 $18.41 $18.99 $19.53 $19.83 $20.17 $20.48  

ENGINEERING section:
- J01109 Electrical Protective Equipment Technician** N $26.93 $27.48 $28.04 $28.63 $29.13 $29.66 $29.88  
- J01108 Electrical Protective Equipment Tester N $26.37 $26.95 $27.49 $28.05 $28.61 $29.11 $29.38  
- J01106 Electrical Technician N $31.85 $32.43 $32.95 $33.53 $33.88 $34.37 $34.79  
- J02B4B Lead Relay and Electrical Technician N $33.60 $34.22 $34.80 $35.38 $35.77 $36.28 $36.71  
- J01105 Meter Laboratory Technician N $29.39 $29.93 $30.54 $31.09 $31.53 $31.83 $32.41  
- J01107 Relay Technician N $31.17 $31.75 $32.39 $32.97 $33.32 $33.96 $34.31  
- J01101 Surveyor I** N $28.88 $29.45 $29.97 $30.58 $31.21 $31.69 $32.20  
- J01102 Surveyor II N $24.30 $24.85 $25.44 $26.01 $26.48 $26.82 $27.12  
- J01103 Surveyor Aid I N $20.90 $21.43 $22.02 $22.56 $22.99 $23.37 $23.60  
- J01104 Surveyor Aid II N $18.20 $18.78 $19.33 $19.90 $20.22 $20.62 $20.77  

FORMS SHIPPING AND RECEIVING section:
- J01098 Forms Shipping and Receiving Worker N $17.86 $18.24 $18.62 $19.00 $19.37 $19.74 $20.11 $20.48  

LOAD DISPATCHING section:
- J01110 Load Dispatcher S $32.94 $33.41 $33.95 $34.52 $34.79 $35.20 $35.73  
- J01111 SOC Control Technician N/S $28.95 $29.50 $30.09 $30.65 $31.13 $31.53 $31.93  

At the bottom of the page are two footnotes: *Starting or entry level position **Supervisory position

Also, note that there is a vertical number "109" on the left side of the page, which should be preserved.

Now organize all this content into Markdown format, paying attention to the alignment of columns and rows. The table headers are STEP 1 through STEP 8, with corresponding values under each column.

Now begin writing:

# General Office - Physical Positions

[Each step represents a six-month increment]

## BUILDING

| NO.   | POSITION                          | N    | STEP 1  | STEP 2  | STEP 3  | STEP 4  | STEP 5  | STEP 6  | STEP 7  | STEP 8  |
| NO.   | POSITION                          | N/S  | STEP 1  | STEP 2  | STEP 3  | STEP 4  | STEP 5  | STEP 6  | STEP 7  | STEP 8  |
|-------|-----------------------------------|------|---------|---------|---------|---------|---------|---------|---------|---------|
| J01110| Load Dispatcher                   | S    | $32.94  | $33.41  | $33.95  | $34.52  | $34.79  | $35.20  |         | $35.73  |
| J01111| SOC Control Technician            | N/S  | $28.95  | $29.50  | $30.09  | $30.65  | $31.13  | $31.53  |         | $31.93  |

*Starting or entry level position  
**Supervisory position  

Note: The vertical number "109" on the left side of the page has been preserved as part of the layout. All other content has been transcribed accurately, including special characters such as asterisks (* and **) used to denote footnotes.
</think>

# General Office - Physical Positions

[Each step represents a six-month increment]

## BUILDING

| NO.   | POSITION                          | N    | STEP 1  | STEP 2  | STEP 3  | STEP 4  | STEP 5  | STEP 6  | STEP 7  | STEP 8  |
|-------|-----------------------------------|------|---------|---------|---------|---------|---------|---------|---------|---------|
| J01127| General Office Materials Handler* | N    | $17.86  | $18.41  | $18.99  | $19.53  | $19.83  | $20.17  |         | $20.48  |
| J01126| General Office Services Worker*   | N    | $17.86  | $18.41  | $18.99  | $19.53  | $19.83  | $20.17  |         | $20.48  |

## ENGINEERING

| NO.   | POSITION                          | N    | STEP 1  | STEP 2  | STEP 3  | STEP 4  | STEP 5  | STEP 6  | STEP 7  | STEP 8  |
|-------|-----------------------------------|------|---------|---------|---------|---------|---------|---------|---------|---------|
| J01109| Electrical Protective Equipment Technician** | N    | $26.93  | $27.48  | $28.04  | $28.63  | $29.13  | $29.66  |         | $29.88  |
| J01108| Electrical Protective Equipment Tester | N    | $26.37  | $26.95  | $27.49  | $28.05  | $28.61  | $29.11  |         | $29.38  |
| J01106| Electrical Technician             | N    | $31.85  | $32.43  | $32.95  | $33.53  | $33.88  | $34.37  |         | $34.79  |
| J02B4B| Lead Relay and Electrical Technician | N    | $33.60  | $34.22  | $34.80  | $35.38  | $35.77  | $36.28  |         | $36.71  |
| J01105| Meter Laboratory Technician       | N    | $29.39  | $29.93  | $30.54  | $31.09  | $31.53  | $31.83  |         | $32.41  |
| J01107| Relay Technician                  | N    | $31.17  | $31.75  | $32.39  | $32.97  | $33.32  | $33.96  |         | $34.31  |
| J01101| Surveyor I**                      | N    | $28.88  | $29.45  | $29.97  | $30.58  | $31.21  | $31.69  |         | $32.20  |
| J01102| Surveyor II                       | N    | $24.30  | $24.85  | $25.44  | $26.01  | $26.48  | $26.82  |         | $27.12  |
| J01103| Surveyor Aid I                    | N    | $20.90  | $21.43  | $22.02  | $22.56  | $22.99  | $23.37  |         | $23.60  |
| J01104| Surveyor Aid II                   | N    | $18.20  | $18.78  | $19.33  | $19.90  | $20.22  | $20.62  |         | $20.77  |

## FORMS SHIPPING AND RECEIVING

| NO.   | POSITION                          | N    | STEP 1  | STEP 2  | STEP 3  | STEP 4  | STEP 5  | STEP 6  | STEP 7  | STEP 8  |
|-------|-----------------------------------|------|---------|---------|---------|---------|---------|---------|---------|---------|
| J01098| Forms Shipping and Receiving Worker | N    | $17.86  | $18.24  | $18.62  | $19.00  | $19.37  | $19.74  | $20.11  | $20.48  |

## LOAD DISPATCHING

| NO.   | POSITION                          | N/S  | STEP 1  | STEP 2  | STEP 3  | STEP 4  | STEP 5  | STEP 6  | STEP 7  | STEP 8  |
|-------|-----------------------------------|------|---------|---------|---------|---------|---------|---------|---------|---------|
| J01110| Load Dispatcher                   | S    | $32.94  | $33.41  | $33.95  | $34.52  | $34.79  | $35.20  |         | $35.73  |
| J01111| SOC Control Technician            | N/S  | $28.95  | $29.50  | $30.09  | $30.65  | $31.13  | $31.53  |         | $31.93  |

*Starting or entry level position  
**Supervisory position
