<think>
# Supporting Services General Pay Schedule  
## Effective July 1, 1993  

| Pay Grade | A     | B     | C     | D     | E     | F     | G     | H     | I     | J     |
| 2         | $7.12 | $7.40 | $7.71 | $7.99 | $8.33 | $8.66 | $9.04 | $9.24 | $9.43 | $9.62 |
| 3         | $7.40 | $7.71 | $7.99 | $8.33 | $8.66 | $9.04 | $9.42 | $9.59 | $9.79 | $9.99 |
| 4         | $7.71 | $7.99 | $8.33 | $8.66 | $9.04 | $9.42 | $9.79 | $9.98 | $10.18 | $10.39 |
| 5         | $7.99 | $8.33 | $8.66 | $9.04 | $9.42 | $9.79 | $10.20 | $10.40 | $10.61 | $10.83 |
| 6         | $8.33 | $8.66 | $9.04 | $9.42 | $9.79 | $10.20 | $10.61 | $10.84 | $11.06 | $11.29 |
| 7         | $8.66 | $9.04 | $9.42 | $9.79 | $10.20 | $10.61 | $11.08 | $11.29 | $11.53 | $11.76 |
| 8         | $9.04 | $9.42 | $9.79 | $10.20 | $10.61 | $11.08 | $11.53 | $11.76 | $11.99 | $12.23 |
| 9         | $9.42 | $9.79 | $10.20 | $10.61 | $11.08 | $11.53 | $12.02 | $12.26 | $12.51 | $12.76 |
| 10        | $9.79 | $10.20 | $10.61 | $11.08 | $11.53 | $12.02 | $12.59 | $12.85 | $13.11 | $13.38 |
| 11        | $10.20 | $10.61 | $11.08 | $11.53 | $12.02 | $12.59 | $13.21 | $13.49 | $13.75 | $14.03 |
| 12        | $10.61 | $11.08 | $11.53 | $12.02 | $12.59 | $13.21 | $13.93 | $14.20 | $14.47 | $14.76 |
| 13        | $11.08 | $11.53 | $12.02 | $12.59 | $13.21 | $13.93 | $14.57 | $14.84 | $15.14 | $15.45 |
| 14        | $11.53 | $12.02 | $12.59 | $13.21 | $13.93 | $14.57 | $15.29 | $15.60 | $15.91 | $16.23 |
| 15        | $12.02 | $12.59 | $13.21 | $13.93 | $14.57 | $15.29 | $16.07 | $16.41 | $16.74 | $17.08 |
| 16        | $12.59 | $13.21 | $13.93 | $14.57 | $15.29 | $16.07 | $16.85 | $17.20 | $17.53 | $17.88 |
| 17        | $13.21 | $13.93 | $14.57 | $15.29 | $16.07 | $16.85 | $17.70 | $18.08 | $18.44 | $18.81 |
| 18        | $13.93 | $14.57 | $15.29 | $16.07 | $16.85 | $17.70 | $18.55 | $18.93 | $19.32 | $19.71 |
| 19        | $14.57 | $15.29 | $16.07 | $16.85 | $17.70 | $18.55 | $19.51 | $19.89 | $20.29 | $20.70 |
| 20        | $15.29 | $16.07 | $16.85 | $17.70 | $18.55 | $19.51 | $20.46 | $20.90 | $21.32 | $21.75 |
| 21        | $16.07 | $16.85 | $17.70 | $18.55 | $19.51 | $20.46 | $21.46 | $21.89 | $22.35 | $22.80 |
| 22        | $16.85 | $17.70 | $18.55 | $19.51 | $20.46 | $21.46 | $22.44 | $22.90 | $23.37 | $23.84 |
| 23        | $17.70 | $18.55 | $19.51 | $20.46 | $21.46 | $22.44 | $23.51 | $24.00 | $24.48 | $24.97 |
| 24        | $18.55 | $19.51 | $20.46 | $21.46 | $22.44 | $23.51 | $24.64 | $25.12 | $25.61 | $26.13 |
| 25        | $19.51 | $20.46 | $21.46 | $22.44 | $23.51 | $24.64 | $25.77 | $26.31 | $26.83 | $27.37 |
| 26        | $20.46 | $21.46 | $22.44 | $23.51 | $24.64 | $25.77 | $26.98 | $27.52 | $28.06 | $28.63 |
| 27        | $21.46 | $22.44 | $23.51 | $24.64 | $25.77 | $26.98 | $28.24 | $28.83 | $29.40 | $29.99 |
| 28        | $22.44 | $23.51 | $24.64 | $25.77 | $26.98 | $28.24 | $29.57 | $30.14 | $30.75 | $31.37 |
| 29        | $23.51 | $24.64 | $25.77 | $26.98 | $28.24 | $29.57 | $30.99 | $31.60 | $32.23 | $32.88 |
| 30        | $24.64 | $25.77 | $26.98 | $28.24 | $29.57 | $30.99 | $32.47 | $33.13 | $33.80 | $34.48 |

11
